Year,Annual Total,Average Wage
2001,3987490142,28982.43
2002,4059948682,29426.74
2003,4137936278,30324.55
2004,4371274366,31339.34
2005,4690285627,32302.69
2006,4947396930,33242.83
2007,5185818474,34323.85
2008,5225369633,35362.94
2009,4814614624,35474.61
2010,4829633517,35888.84
2011,4987173462,36778.02
2012,5148398977,37618.55
2013,5319383548,38353.38
2014,5597437398,39382.80
2015,5993019180,40824.38
